MinMax,Path,Stage3_Outlay_Amount,Stage3_Outlay_Type,Stage4_Function,Stage4_Row_Type,pillar3_cumsum,pillar4_rank_n,t,pillar4_cumsum,Stage4_Top,Stage4_Bot,Stage3_Top,Stage3_Bot,sigmoid,curve_top_out,curve_bot_out
Max,98,113901000000.0,Dummy,Dummy_Function,Spacer,113901000000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Max,98,4177000000.0,Outlay,Other,Real,118078000000.0,1.0,-6.0,4177000000.0,4177000000.0,0.0,118078000000.0,113901000000.0,0.002472623156634775,117796365749.83614,113619365749.83614
Max,98,41023000000.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,45200000000.0,45200000000.0,4177000000.0,118078000000.0,118078000000.0,0.002472623156634775,117897800169.59077,117796365749.83614
Max,98,4239000000.0,Outlay,Administration of Justice,Real,122317000000.0,3.0,-6.0,49439000000.0,49439000000.0,45200000000.0,122317000000.0,118078000000.0,0.002472623156634775,122136800169.59077,117897800169.59077
Max,98,41023000000.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,90462000000.0,90462000000.0,49439000000.0,122317000000.0,122317000000.0,0.002472623156634775,122238234589.3454,122136800169.59077
Max,98,5986000000.0,Outlay,Transportation,Real,128303000000.0,5.0,-6.0,96448000000.0,96448000000.0,90462000000.0,128303000000.0,122317000000.0,0.002472623156634775,128224234589.3454,122238234589.3454
Max,98,41023000000.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,137471000000.0,137471000000.0,96448000000.0,128303000000.0,128303000000.0,0.002472623156634775,128325669009.10002,128224234589.3454
Max,98,7035000000.0,Outlay,Veterans Benefits and Services,Real,135338000000.0,7.0,-6.0,144506000000.0,144506000000.0,137471000000.0,135338000000.0,128303000000.0,0.002472623156634775,135360669009.10002,128325669009.10002
Max,98,41023000000.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,185529000000.0,185529000000.0,144506000000.0,135338000000.0,135338000000.0,0.002472623156634775,135462103428.85466,135360669009.10002
Max,98,7356000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,142694000000.0,9.0,-6.0,192885000000.0,192885000000.0,185529000000.0,142694000000.0,135338000000.0,0.002472623156634775,142818103428.85464,135462103428.85466
