Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Dummy_Source,151868000000.0,Dummy,Spacer,-6.0,98,Max,0.0,151868000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-6.0,98,Max,2.0,154877000000.0,3009000000.0,3009000000.0,0.0,154877000000.0,151868000000.0,0.002472623156634775,3384512333.5518103,375512333.55181
Spacer 3,50622666666.0,Receipt,Spacer,-6.0,98,Max,3.0,,53631666666.0,53631666666.0,3009000000.0,154877000000.0,154877000000.0,0.002472623156634775,53882008221.70286,3384512333.5518103
Estate and Gift Taxes,4198000000.0,Receipt,Real,-6.0,98,Max,4.0,159075000000.0,57829666666.0,57829666666.0,53631666666.0,159075000000.0,154877000000.0,0.002472623156634775,58080008221.70286,53882008221.70286
Spacer 5,50622666666.0,Receipt,Spacer,-6.0,98,Max,5.0,,108452333332.0,108452333332.0,57829666666.0,159075000000.0,159075000000.0,0.002472623156634775,108577504109.8539,58080008221.70286
Excise Taxes,4358000000.0,Receipt,Real,-6.0,98,Max,6.0,163433000000.0,112810333332.0,112810333332.0,108452333332.0,163433000000.0,159075000000.0,0.002472623156634775,112935504109.8539,108577504109.8539
Spacer 7,50622666666.0,Receipt,Spacer,-6.0,98,Max,7.0,,163432999998.0,163432999998.0,112810333332.0,163433000000.0,163433000000.0,0.002472623156634775,163432999998.00494,112935504109.8539
Miscellaneous Receipts,12045000000.0,Receipt,Real,-6.0,98,Max,8.0,175478000000.0,175477999998.0,175477999998.0,163432999998.0,175478000000.0,163433000000.0,0.002472623156634775,175477999998.00494,163432999998.00494
Spacer 9,50622666666.0,Receipt,Spacer,-6.0,98,Max,9.0,,226100666664.0,226100666664.0,175477999998.0,175478000000.0,175478000000.0,0.002472623156634775,225975495886.15598,175477999998.00494
Corporation Income Taxes,59721000000.0,Receipt,Real,-6.0,98,Max,10.0,235199000000.0,285821666664.0,285821666664.0,226100666664.0,235199000000.0,175478000000.0,0.002472623156634775,285696495886.156,225975495886.15598
