Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Spacer 9,37967000000.0,Receipt,Spacer,-5.75,97,Max,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.0031726828424851906,175357542750.51938,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-5.75,97,Max,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.0031726828424851906,235078542750.51938,175357542750.51938
Spacer 11,37967000000.0,Receipt,Spacer,-5.75,97,Max,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.0031726828424851906,272925085501.03873,235078542750.51938
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-5.75,97,Max,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.0031726828424851906,395880085501.03876,272925085501.03873
Spacer 13,37967000000.0,Receipt,Spacer,-5.75,97,Max,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.0031726828424851906,433726628251.5581,395880085501.03876
Individual Income Taxes,249320000000.0,Receipt,Real,-5.75,97,Max,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.0031726828424851906,683046628251.5581,433726628251.5581
Dummy_Source,113901000000.0,Dummy,Spacer,-5.75,2,Min,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-5.75,2,Min,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.0031726828424851906,3370371748.4419055,361371748.4419057
Spacer 3,37967000000.0,Receipt,Spacer,-5.75,2,Min,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.0031726828424851906,41216914498.96127,3370371748.4419055
Estate and Gift Taxes,4198000000.0,Receipt,Real,-5.75,2,Min,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.0031726828424851906,45414914498.96127,41216914498.96127
Spacer 5,37967000000.0,Receipt,Spacer,-5.75,2,Min,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.0031726828424851906,83261457249.48064,45414914498.96127
Excise Taxes,4358000000.0,Receipt,Real,-5.75,2,Min,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.0031726828424851906,87619457249.48064,83261457249.48064
Spacer 7,37967000000.0,Receipt,Spacer,-5.75,2,Min,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.0031726828424851906,125466000000.0,87619457249.48064
Miscellaneous Receipts,12045000000.0,Receipt,Real,-5.75,2,Min,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.0031726828424851906,137511000000.0,125466000000.0
Spacer 9,37967000000.0,Receipt,Spacer,-5.75,2,Min,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.0031726828424851906,175357542750.51938,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-5.75,2,Min,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.0031726828424851906,235078542750.51938,175357542750.51938
Spacer 11,37967000000.0,Receipt,Spacer,-5.75,2,Min,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.0031726828424851906,272925085501.03873,235078542750.51938
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-5.75,2,Min,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.0031726828424851906,395880085501.03876,272925085501.03873
Spacer 13,37967000000.0,Receipt,Spacer,-5.75,2,Min,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.0031726828424851906,433726628251.5581,395880085501.03876
Individual Income Taxes,249320000000.0,Receipt,Real,-5.75,2,Min,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.0031726828424851906,683046628251.5581,433726628251.5581
Dummy_Source,113901000000.0,Dummy,Spacer,-5.5,96,Max,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-5.5,96,Max,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.0040701377158961285,3472592755.978285,463592755.97828496
Spacer 3,37967000000.0,Receipt,Spacer,-5.5,96,Max,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.0040701377158961285,41285061837.318855,3472592755.978285
Estate and Gift Taxes,4198000000.0,Receipt,Real,-5.5,96,Max,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.0040701377158961285,45483061837.318855,41285061837.318855
Spacer 5,37967000000.0,Receipt,Spacer,-5.5,96,Max,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.0040701377158961285,83295530918.65942,45483061837.318855
Excise Taxes,4358000000.0,Receipt,Real,-5.5,96,Max,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.0040701377158961285,87653530918.65942,83295530918.65942
Spacer 7,37967000000.0,Receipt,Spacer,-5.5,96,Max,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.0040701377158961285,125466000000.0,87653530918.65942
Miscellaneous Receipts,12045000000.0,Receipt,Real,-5.5,96,Max,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.0040701377158961285,137511000000.0,125466000000.0
Spacer 9,37967000000.0,Receipt,Spacer,-5.5,96,Max,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.0040701377158961285,175323469081.34058,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-5.5,96,Max,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.0040701377158961285,235044469081.34058,175323469081.34058
Spacer 11,37967000000.0,Receipt,Spacer,-5.5,96,Max,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.0040701377158961285,272856938162.68115,235044469081.34058
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-5.5,96,Max,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.0040701377158961285,395811938162.68115,272856938162.68115
Spacer 13,37967000000.0,Receipt,Spacer,-5.5,96,Max,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.0040701377158961285,433624407244.0217,395811938162.68115
Individual Income Taxes,249320000000.0,Receipt,Real,-5.5,96,Max,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.0040701377158961285,682944407244.0217,433624407244.0217
Dummy_Source,113901000000.0,Dummy,Spacer,-5.5,3,Min,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-5.5,3,Min,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.0040701377158961285,3472592755.978285,463592755.97828496
Spacer 3,37967000000.0,Receipt,Spacer,-5.5,3,Min,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.0040701377158961285,41285061837.318855,3472592755.978285
Estate and Gift Taxes,4198000000.0,Receipt,Real,-5.5,3,Min,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.0040701377158961285,45483061837.318855,41285061837.318855
Spacer 5,37967000000.0,Receipt,Spacer,-5.5,3,Min,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.0040701377158961285,83295530918.65942,45483061837.318855
Excise Taxes,4358000000.0,Receipt,Real,-5.5,3,Min,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.0040701377158961285,87653530918.65942,83295530918.65942
Spacer 7,37967000000.0,Receipt,Spacer,-5.5,3,Min,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.0040701377158961285,125466000000.0,87653530918.65942
Miscellaneous Receipts,12045000000.0,Receipt,Real,-5.5,3,Min,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.0040701377158961285,137511000000.0,125466000000.0
Spacer 9,37967000000.0,Receipt,Spacer,-5.5,3,Min,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.0040701377158961285,175323469081.34058,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-5.5,3,Min,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.0040701377158961285,235044469081.34058,175323469081.34058
Spacer 11,37967000000.0,Receipt,Spacer,-5.5,3,Min,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.0040701377158961285,272856938162.68115,235044469081.34058
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-5.5,3,Min,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.0040701377158961285,395811938162.68115,272856938162.68115
Spacer 13,37967000000.0,Receipt,Spacer,-5.5,3,Min,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.0040701377158961285,433624407244.0217,395811938162.68115
Individual Income Taxes,249320000000.0,Receipt,Real,-5.5,3,Min,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.0040701377158961285,682944407244.0217,433624407244.0217
Dummy_Source,113901000000.0,Dummy,Spacer,-5.25,95,Max,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-5.25,95,Max,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.005220125693558399,3603577536.621995,594577536.6219952
Spacer 3,37967000000.0,Receipt,Spacer,-5.25,95,Max,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.005220125693558399,41372385024.414665,3603577536.621995
Estate and Gift Taxes,4198000000.0,Receipt,Real,-5.25,95,Max,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.005220125693558399,45570385024.414665,41372385024.414665
Spacer 5,37967000000.0,Receipt,Spacer,-5.25,95,Max,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.005220125693558399,83339192512.20734,45570385024.414665
Excise Taxes,4358000000.0,Receipt,Real,-5.25,95,Max,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.005220125693558399,87697192512.20734,83339192512.20734
Spacer 7,37967000000.0,Receipt,Spacer,-5.25,95,Max,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.005220125693558399,125466000000.0,87697192512.20734
Miscellaneous Receipts,12045000000.0,Receipt,Real,-5.25,95,Max,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.005220125693558399,137511000000.0,125466000000.0
Spacer 9,37967000000.0,Receipt,Spacer,-5.25,95,Max,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.005220125693558399,175279807487.79266,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-5.25,95,Max,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.005220125693558399,235000807487.79266,175279807487.79266
Spacer 11,37967000000.0,Receipt,Spacer,-5.25,95,Max,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.005220125693558399,272769614975.58533,235000807487.79266
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-5.25,95,Max,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.005220125693558399,395724614975.5853,272769614975.58533
Spacer 13,37967000000.0,Receipt,Spacer,-5.25,95,Max,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.005220125693558399,433493422463.378,395724614975.5853
Individual Income Taxes,249320000000.0,Receipt,Real,-5.25,95,Max,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.005220125693558399,682813422463.378,433493422463.378
Dummy_Source,113901000000.0,Dummy,Spacer,-5.25,4,Min,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-5.25,4,Min,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.005220125693558399,3603577536.621995,594577536.6219952
Spacer 3,37967000000.0,Receipt,Spacer,-5.25,4,Min,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.005220125693558399,41372385024.414665,3603577536.621995
Estate and Gift Taxes,4198000000.0,Receipt,Real,-5.25,4,Min,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.005220125693558399,45570385024.414665,41372385024.414665
Spacer 5,37967000000.0,Receipt,Spacer,-5.25,4,Min,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.005220125693558399,83339192512.20734,45570385024.414665
Excise Taxes,4358000000.0,Receipt,Real,-5.25,4,Min,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.005220125693558399,87697192512.20734,83339192512.20734
Spacer 7,37967000000.0,Receipt,Spacer,-5.25,4,Min,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.005220125693558399,125466000000.0,87697192512.20734
Miscellaneous Receipts,12045000000.0,Receipt,Real,-5.25,4,Min,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.005220125693558399,137511000000.0,125466000000.0
Spacer 9,37967000000.0,Receipt,Spacer,-5.25,4,Min,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.005220125693558399,175279807487.79266,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-5.25,4,Min,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.005220125693558399,235000807487.79266,175279807487.79266
Spacer 11,37967000000.0,Receipt,Spacer,-5.25,4,Min,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.005220125693558399,272769614975.58533,235000807487.79266
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-5.25,4,Min,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.005220125693558399,395724614975.5853,272769614975.58533
Spacer 13,37967000000.0,Receipt,Spacer,-5.25,4,Min,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.005220125693558399,433493422463.378,395724614975.5853
Individual Income Taxes,249320000000.0,Receipt,Real,-5.25,4,Min,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.005220125693558399,682813422463.378,433493422463.378
Dummy_Source,113901000000.0,Dummy,Spacer,-5.0,94,Max,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.006692850924284857,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-5.0,94,Max,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.006692850924284857,3771322413.1269693,762322413.1269696
Spacer 3,37967000000.0,Receipt,Spacer,-5.0,94,Max,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.006692850924284857,41484214942.08465,3771322413.1269693
Estate and Gift Taxes,4198000000.0,Receipt,Real,-5.0,94,Max,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.006692850924284857,45682214942.08465,41484214942.08465
Spacer 5,37967000000.0,Receipt,Spacer,-5.0,94,Max,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.006692850924284857,83395107471.04233,45682214942.08465
Excise Taxes,4358000000.0,Receipt,Real,-5.0,94,Max,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.006692850924284857,87753107471.04233,83395107471.04233
Spacer 7,37967000000.0,Receipt,Spacer,-5.0,94,Max,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.006692850924284857,125466000000.0,87753107471.04233
Miscellaneous Receipts,12045000000.0,Receipt,Real,-5.0,94,Max,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.006692850924284857,137511000000.0,125466000000.0
Spacer 9,37967000000.0,Receipt,Spacer,-5.0,94,Max,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.006692850924284857,175223892528.95767,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-5.0,94,Max,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.006692850924284857,234944892528.95767,175223892528.95767
Spacer 11,37967000000.0,Receipt,Spacer,-5.0,94,Max,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.006692850924284857,272657785057.91534,234944892528.95767
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-5.0,94,Max,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.006692850924284857,395612785057.91534,272657785057.91534
Spacer 13,37967000000.0,Receipt,Spacer,-5.0,94,Max,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.006692850924284857,433325677586.87305,395612785057.91534
Individual Income Taxes,249320000000.0,Receipt,Real,-5.0,94,Max,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.006692850924284857,682645677586.873,433325677586.87305
Dummy_Source,113901000000.0,Dummy,Spacer,-5.0,5,Min,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.006692850924284857,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-5.0,5,Min,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.006692850924284857,3771322413.1269693,762322413.1269696
Spacer 3,37967000000.0,Receipt,Spacer,-5.0,5,Min,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.006692850924284857,41484214942.08465,3771322413.1269693
Estate and Gift Taxes,4198000000.0,Receipt,Real,-5.0,5,Min,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.006692850924284857,45682214942.08465,41484214942.08465
Spacer 5,37967000000.0,Receipt,Spacer,-5.0,5,Min,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.006692850924284857,83395107471.04233,45682214942.08465
Excise Taxes,4358000000.0,Receipt,Real,-5.0,5,Min,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.006692850924284857,87753107471.04233,83395107471.04233
Spacer 7,37967000000.0,Receipt,Spacer,-5.0,5,Min,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.006692850924284857,125466000000.0,87753107471.04233
Miscellaneous Receipts,12045000000.0,Receipt,Real,-5.0,5,Min,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.006692850924284857,137511000000.0,125466000000.0
