Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Dummy_Source,113901000000.0,Dummy,Spacer,-6.0,98,Max,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-6.0,98,Max,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.002472623156634775,3290634250.1638575,281634250.1638575
Spacer 3,37967000000.0,Receipt,Spacer,-6.0,98,Max,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.002472623156634775,41163756166.7759,3290634250.1638575
Estate and Gift Taxes,4198000000.0,Receipt,Real,-6.0,98,Max,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.002472623156634775,45361756166.7759,41163756166.7759
Spacer 5,37967000000.0,Receipt,Spacer,-6.0,98,Max,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.002472623156634775,83234878083.38795,45361756166.7759
Excise Taxes,4358000000.0,Receipt,Real,-6.0,98,Max,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.002472623156634775,87592878083.38795,83234878083.38795
Spacer 7,37967000000.0,Receipt,Spacer,-6.0,98,Max,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.002472623156634775,125466000000.0,87592878083.38795
Miscellaneous Receipts,12045000000.0,Receipt,Real,-6.0,98,Max,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.002472623156634775,137511000000.0,125466000000.0
Spacer 9,37967000000.0,Receipt,Spacer,-6.0,98,Max,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.002472623156634775,175384121916.61206,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-6.0,98,Max,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.002472623156634775,235105121916.61206,175384121916.61206
Spacer 11,37967000000.0,Receipt,Spacer,-6.0,98,Max,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.002472623156634775,272978243833.2241,235105121916.61206
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-6.0,98,Max,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.002472623156634775,395933243833.2241,272978243833.2241
Spacer 13,37967000000.0,Receipt,Spacer,-6.0,98,Max,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.002472623156634775,433806365749.8361,395933243833.2241
Individual Income Taxes,249320000000.0,Receipt,Real,-6.0,98,Max,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.002472623156634775,683126365749.8362,433806365749.8361
Dummy_Source,113901000000.0,Dummy,Spacer,-6.0,1,Min,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-6.0,1,Min,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.002472623156634775,3290634250.1638575,281634250.1638575
Spacer 3,37967000000.0,Receipt,Spacer,-6.0,1,Min,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.002472623156634775,41163756166.7759,3290634250.1638575
Estate and Gift Taxes,4198000000.0,Receipt,Real,-6.0,1,Min,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.002472623156634775,45361756166.7759,41163756166.7759
Spacer 5,37967000000.0,Receipt,Spacer,-6.0,1,Min,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.002472623156634775,83234878083.38795,45361756166.7759
Excise Taxes,4358000000.0,Receipt,Real,-6.0,1,Min,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.002472623156634775,87592878083.38795,83234878083.38795
Spacer 7,37967000000.0,Receipt,Spacer,-6.0,1,Min,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.002472623156634775,125466000000.0,87592878083.38795
Miscellaneous Receipts,12045000000.0,Receipt,Real,-6.0,1,Min,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.002472623156634775,137511000000.0,125466000000.0
Spacer 9,37967000000.0,Receipt,Spacer,-6.0,1,Min,9.0,,175478000000.0,175478000000.0,137511000000.0,137511000000.0,137511000000.0,0.002472623156634775,175384121916.61206,137511000000.0
Corporation Income Taxes,59721000000.0,Receipt,Real,-6.0,1,Min,10.0,197232000000.0,235199000000.0,235199000000.0,175478000000.0,197232000000.0,137511000000.0,0.002472623156634775,235105121916.61206,175384121916.61206
Spacer 11,37967000000.0,Receipt,Spacer,-6.0,1,Min,11.0,,273166000000.0,273166000000.0,235199000000.0,197232000000.0,197232000000.0,0.002472623156634775,272978243833.2241,235105121916.61206
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-6.0,1,Min,12.0,320187000000.0,396121000000.0,396121000000.0,273166000000.0,320187000000.0,197232000000.0,0.002472623156634775,395933243833.2241,272978243833.2241
Spacer 13,37967000000.0,Receipt,Spacer,-6.0,1,Min,13.0,,434088000000.0,434088000000.0,396121000000.0,320187000000.0,320187000000.0,0.002472623156634775,433806365749.8361,395933243833.2241
Individual Income Taxes,249320000000.0,Receipt,Real,-6.0,1,Min,14.0,569507000000.0,683408000000.0,683408000000.0,434088000000.0,569507000000.0,320187000000.0,0.002472623156634775,683126365749.8362,433806365749.8361
Dummy_Source,113901000000.0,Dummy,Spacer,-5.75,97,Max,0.0,113901000000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-5.75,97,Max,2.0,116910000000.0,3009000000.0,3009000000.0,0.0,116910000000.0,113901000000.0,0.0031726828424851906,3370371748.4419055,361371748.4419057
Spacer 3,37967000000.0,Receipt,Spacer,-5.75,97,Max,3.0,,40976000000.0,40976000000.0,3009000000.0,116910000000.0,116910000000.0,0.0031726828424851906,41216914498.96127,3370371748.4419055
Estate and Gift Taxes,4198000000.0,Receipt,Real,-5.75,97,Max,4.0,121108000000.0,45174000000.0,45174000000.0,40976000000.0,121108000000.0,116910000000.0,0.0031726828424851906,45414914498.96127,41216914498.96127
Spacer 5,37967000000.0,Receipt,Spacer,-5.75,97,Max,5.0,,83141000000.0,83141000000.0,45174000000.0,121108000000.0,121108000000.0,0.0031726828424851906,83261457249.48064,45414914498.96127
Excise Taxes,4358000000.0,Receipt,Real,-5.75,97,Max,6.0,125466000000.0,87499000000.0,87499000000.0,83141000000.0,125466000000.0,121108000000.0,0.0031726828424851906,87619457249.48064,83261457249.48064
Spacer 7,37967000000.0,Receipt,Spacer,-5.75,97,Max,7.0,,125466000000.0,125466000000.0,87499000000.0,125466000000.0,125466000000.0,0.0031726828424851906,125466000000.0,87619457249.48064
Miscellaneous Receipts,12045000000.0,Receipt,Real,-5.75,97,Max,8.0,137511000000.0,137511000000.0,137511000000.0,125466000000.0,137511000000.0,125466000000.0,0.0031726828424851906,137511000000.0,125466000000.0
