MinMax,Path,Stage3_Outlay_Amount,Stage3_Outlay_Type,Stage4_Function,Stage4_Row_Type,pillar3_cumsum,pillar4_rank_n,t,pillar4_cumsum,Stage4_Top,Stage4_Bot,Stage3_Top,Stage3_Bot,sigmoid,curve_top_out,curve_bot_out
Max,98,100000000000.0,Dummy,Dummy_Function,Spacer,100000000000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Max,98,1641000000.0,Outlay,Other,Real,101641000000.0,1.0,-6.0,1641000000.0,1641000000.0,0.0,101641000000.0,100000000000.0,0.002472623156634775,101393737684.33652,99752737684.33652
Max,98,40000000000.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,41641000000.0,41641000000.0,1641000000.0,101641000000.0,101641000000.0,0.002472623156634775,101492642610.60191,101393737684.33652
Max,98,3302000000.0,Outlay,International Affairs,Real,104943000000.0,3.0,-6.0,44943000000.0,44943000000.0,41641000000.0,104943000000.0,101641000000.0,0.002472623156634775,104794642610.60191,101492642610.60191
Max,98,40000000000.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,84943000000.0,84943000000.0,44943000000.0,104943000000.0,104943000000.0,0.002472623156634775,104893547536.86731,104794642610.60191
Max,98,3452000000.0,Outlay,General Government,Real,108395000000.0,5.0,-6.0,88395000000.0,88395000000.0,84943000000.0,108395000000.0,104943000000.0,0.002472623156634775,108345547536.86731,104893547536.86731
Max,98,40000000000.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,128395000000.0,128395000000.0,88395000000.0,108395000000.0,108395000000.0,0.002472623156634775,108444452463.13269,108345547536.86731
Max,98,4154000000.0,Outlay,Administration of Justice,Real,112549000000.0,7.0,-6.0,132549000000.0,132549000000.0,128395000000.0,112549000000.0,108395000000.0,0.002472623156634775,112598452463.13269,108444452463.13269
Max,98,25000000000.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,157549000000.0,157549000000.0,132549000000.0,112549000000.0,112549000000.0,0.002472623156634775,112660268042.04857,112598452463.13269
Max,98,7226000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,119775000000.0,9.0,-6.0,164775000000.0,164775000000.0,157549000000.0,119775000000.0,112549000000.0,0.002472623156634775,119886268042.04857,112660268042.04857
