MinMax,Path,Stage3_Outlay_Amount,Stage3_Outlay_Type,Stage4_Function,Stage4_Row_Type,pillar3_cumsum,pillar4_rank_n,t,pillar4_cumsum,Stage4_Top,Stage4_Bot,Stage3_Top,Stage3_Bot,sigmoid,curve_top_out,curve_bot_out
Max,98,111333666666.66667,Dummy,Dummy_Function,Spacer,111333666666.66667,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Max,98,2296000000.0,Outlay,Other,Real,113629666666.66667,1.0,-6.0,2296000000.0,2296000000.0,0.0,113629666666.66667,111333666666.66667,0.002472623156634775,113354380464.3536,111058380464.3536
Max,98,24740814814.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,27036814814.0,27036814814.0,2296000000.0,113629666666.66667,113629666666.66667,0.002472623156634775,113415555175.97673,113354380464.3536
Max,98,9475000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,123104666666.66667,3.0,-6.0,36511814814.0,36511814814.0,27036814814.0,123104666666.66667,113629666666.66667,0.002472623156634775,122890555175.97673,113415555175.97673
Max,98,24740814814.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,61252629628.0,61252629628.0,36511814814.0,123104666666.66667,123104666666.66667,0.002472623156634775,122951729887.59984,122890555175.97673
Max,98,9805000000.0,Outlay,Transportation,Real,132909666666.66667,5.0,-6.0,71057629628.0,71057629628.0,61252629628.0,132909666666.66667,123104666666.66667,0.002472623156634775,132756729887.59984,122951729887.59984
Max,98,24740814814.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,95798444442.0,95798444442.0,71057629628.0,132909666666.66667,132909666666.66667,0.002472623156634775,132817904599.22295,132756729887.59984
Max,98,15417000000.0,Outlay,Veterans Benefits and Services,Real,148326666666.6667,7.0,-6.0,111215444442.0,111215444442.0,95798444442.0,148326666666.6667,132909666666.66667,0.002472623156634775,148234904599.22296,132817904599.22295
Max,98,24740814814.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,135956259256.0,135956259256.0,111215444442.0,148326666666.6667,148326666666.6667,0.002472623156634775,148296079310.84607,148234904599.22296
Max,98,25260000000.0,Outlay,Net Interest,Real,173586666666.6667,9.0,-6.0,161216259256.0,161216259256.0,135956259256.0,173586666666.6667,148326666666.6667,0.002472623156634775,173556079310.84607,148296079310.84607
Max,98,24740814814.0,Outlay,Spacer 10,Spacer,,10.0,-6.0,185957074070.0,185957074070.0,161216259256.0,173586666666.6667,173586666666.6667,0.002472623156634775,173617254022.46918,173556079310.84607
Max,98,35447000000.0,Outlay,Income Security,Real,209033666666.6667,11.0,-6.0,221404074070.0,221404074070.0,185957074070.0,209033666666.6667,173586666666.6667,0.002472623156634775,209064254022.46918,173617254022.46918
Max,98,24740814814.0,Outlay,Spacer 12,Spacer,,12.0,-6.0,246144888884.0,246144888884.0,221404074070.0,209033666666.6667,209033666666.6667,0.002472623156634775,209125428734.0923,209064254022.46918
Max,98,49302000000.0,Outlay,Health,Real,258335666666.6667,13.0,-6.0,295446888884.0,295446888884.0,246144888884.0,258335666666.6667,209033666666.6667,0.002472623156634775,258427428734.0923,209125428734.0923
Max,98,24740814814.0,Outlay,Spacer 14,Spacer,,14.0,-6.0,320187703698.0,320187703698.0,295446888884.0,258335666666.6667,258335666666.6667,0.002472623156634775,258488603445.7154,258427428734.0923
Max,98,51993000000.0,Outlay,National Defense,Real,310328666666.6667,15.0,-6.0,372180703698.0,372180703698.0,320187703698.0,310328666666.6667,258335666666.6667,0.002472623156634775,310481603445.7154,258488603445.7154
Max,98,24740814814.0,Outlay,Spacer 16,Spacer,,16.0,-6.0,396921518512.0,396921518512.0,372180703698.0,310328666666.6667,310328666666.6667,0.002472623156634775,310542778157.3385,310481603445.7154
Max,98,55843000000.0,Outlay,Medicare,Real,366171666666.6667,17.0,-6.0,452764518512.0,452764518512.0,396921518512.0,366171666666.6667,310328666666.6667,0.002472623156634775,366385778157.3385,310542778157.3385
Max,98,24740814814.0,Outlay,Spacer 18,Spacer,,18.0,-6.0,477505333326.0,477505333326.0,452764518512.0,366171666666.6667,366171666666.6667,0.002472623156634775,366446952868.9616,366385778157.3385
Max,98,79163000000.0,Outlay,Social Security,Real,445334666666.6667,19.0,-6.0,556668333326.0,556668333326.0,477505333326.0,445334666666.6667,366171666666.6667,0.002472623156634775,445609952868.9616,366446952868.9616
Min,1,111333666666.66667,Dummy,Dummy_Function,Spacer,111333666666.66667,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Min,1,2296000000.0,Outlay,Other,Real,113629666666.66667,1.0,-6.0,2296000000.0,2296000000.0,0.0,113629666666.66667,111333666666.66667,0.002472623156634775,113354380464.3536,111058380464.3536
Min,1,24740814814.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,27036814814.0,27036814814.0,2296000000.0,113629666666.66667,113629666666.66667,0.002472623156634775,113415555175.97673,113354380464.3536
Min,1,9475000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,123104666666.66667,3.0,-6.0,36511814814.0,36511814814.0,27036814814.0,123104666666.66667,113629666666.66667,0.002472623156634775,122890555175.97673,113415555175.97673
Min,1,24740814814.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,61252629628.0,61252629628.0,36511814814.0,123104666666.66667,123104666666.66667,0.002472623156634775,122951729887.59984,122890555175.97673
Min,1,9805000000.0,Outlay,Transportation,Real,132909666666.66667,5.0,-6.0,71057629628.0,71057629628.0,61252629628.0,132909666666.66667,123104666666.66667,0.002472623156634775,132756729887.59984,122951729887.59984
Min,1,24740814814.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,95798444442.0,95798444442.0,71057629628.0,132909666666.66667,132909666666.66667,0.002472623156634775,132817904599.22295,132756729887.59984
Min,1,15417000000.0,Outlay,Veterans Benefits and Services,Real,148326666666.6667,7.0,-6.0,111215444442.0,111215444442.0,95798444442.0,148326666666.6667,132909666666.66667,0.002472623156634775,148234904599.22296,132817904599.22295
Min,1,24740814814.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,135956259256.0,135956259256.0,111215444442.0,148326666666.6667,148326666666.6667,0.002472623156634775,148296079310.84607,148234904599.22296
Min,1,25260000000.0,Outlay,Net Interest,Real,173586666666.6667,9.0,-6.0,161216259256.0,161216259256.0,135956259256.0,173586666666.6667,148326666666.6667,0.002472623156634775,173556079310.84607,148296079310.84607
Min,1,24740814814.0,Outlay,Spacer 10,Spacer,,10.0,-6.0,185957074070.0,185957074070.0,161216259256.0,173586666666.6667,173586666666.6667,0.002472623156634775,173617254022.46918,173556079310.84607
Min,1,35447000000.0,Outlay,Income Security,Real,209033666666.6667,11.0,-6.0,221404074070.0,221404074070.0,185957074070.0,209033666666.6667,173586666666.6667,0.002472623156634775,209064254022.46918,173617254022.46918
Min,1,24740814814.0,Outlay,Spacer 12,Spacer,,12.0,-6.0,246144888884.0,246144888884.0,221404074070.0,209033666666.6667,209033666666.6667,0.002472623156634775,209125428734.0923,209064254022.46918
Min,1,49302000000.0,Outlay,Health,Real,258335666666.6667,13.0,-6.0,295446888884.0,295446888884.0,246144888884.0,258335666666.6667,209033666666.6667,0.002472623156634775,258427428734.0923,209125428734.0923
Min,1,24740814814.0,Outlay,Spacer 14,Spacer,,14.0,-6.0,320187703698.0,320187703698.0,295446888884.0,258335666666.6667,258335666666.6667,0.002472623156634775,258488603445.7154,258427428734.0923
Min,1,51993000000.0,Outlay,National Defense,Real,310328666666.6667,15.0,-6.0,372180703698.0,372180703698.0,320187703698.0,310328666666.6667,258335666666.6667,0.002472623156634775,310481603445.7154,258488603445.7154
Min,1,24740814814.0,Outlay,Spacer 16,Spacer,,16.0,-6.0,396921518512.0,396921518512.0,372180703698.0,310328666666.6667,310328666666.6667,0.002472623156634775,310542778157.3385,310481603445.7154
Min,1,55843000000.0,Outlay,Medicare,Real,366171666666.6667,17.0,-6.0,452764518512.0,452764518512.0,396921518512.0,366171666666.6667,310328666666.6667,0.002472623156634775,366385778157.3385,310542778157.3385
Min,1,24740814814.0,Outlay,Spacer 18,Spacer,,18.0,-6.0,477505333326.0,477505333326.0,452764518512.0,366171666666.6667,366171666666.6667,0.002472623156634775,366446952868.9616,366385778157.3385
Min,1,79163000000.0,Outlay,Social Security,Real,445334666666.6667,19.0,-6.0,556668333326.0,556668333326.0,477505333326.0,445334666666.6667,366171666666.6667,0.002472623156634775,445609952868.9616,366446952868.9616
Max,97,111333666666.66667,Dummy,Dummy_Function,Spacer,111333666666.66667,0.0,-5.75,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Max,97,2296000000.0,Outlay,Other,Real,113629666666.66667,1.0,-5.75,2296000000.0,2296000000.0,0.0,113629666666.66667,111333666666.66667,0.0031726828424851906,113276440252.64238,110980440252.64238
Max,97,24740814814.0,Outlay,Spacer 2,Spacer,,2.0,-5.75,27036814814.0,27036814814.0,2296000000.0,113629666666.66667,113629666666.66667,0.0031726828424851906,113354935011.31186,113276440252.64238
Max,97,9475000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,123104666666.66667,3.0,-5.75,36511814814.0,36511814814.0,27036814814.0,123104666666.66667,113629666666.66667,0.0031726828424851906,122829935011.31186,113354935011.31186
Max,97,24740814814.0,Outlay,Spacer 4,Spacer,,4.0,-5.75,61252629628.0,61252629628.0,36511814814.0,123104666666.66667,123104666666.66667,0.0031726828424851906,122908429769.98134,122829935011.31186
Max,97,9805000000.0,Outlay,Transportation,Real,132909666666.66667,5.0,-5.75,71057629628.0,71057629628.0,61252629628.0,132909666666.66667,123104666666.66667,0.0031726828424851906,132713429769.98134,122908429769.98134
Max,97,24740814814.0,Outlay,Spacer 6,Spacer,,6.0,-5.75,95798444442.0,95798444442.0,71057629628.0,132909666666.66667,132909666666.66667,0.0031726828424851906,132791924528.65082,132713429769.98134
Max,97,15417000000.0,Outlay,Veterans Benefits and Services,Real,148326666666.6667,7.0,-5.75,111215444442.0,111215444442.0,95798444442.0,148326666666.6667,132909666666.66667,0.0031726828424851906,148208924528.65082,132791924528.65082
Max,97,24740814814.0,Outlay,Spacer 8,Spacer,,8.0,-5.75,135956259256.0,135956259256.0,111215444442.0,148326666666.6667,148326666666.6667,0.0031726828424851906,148287419287.3203,148208924528.65082
Max,97,25260000000.0,Outlay,Net Interest,Real,173586666666.6667,9.0,-5.75,161216259256.0,161216259256.0,135956259256.0,173586666666.6667,148326666666.6667,0.0031726828424851906,173547419287.3203,148287419287.3203
Max,97,24740814814.0,Outlay,Spacer 10,Spacer,,10.0,-5.75,185957074070.0,185957074070.0,161216259256.0,173586666666.6667,173586666666.6667,0.0031726828424851906,173625914045.9898,173547419287.3203
Max,97,35447000000.0,Outlay,Income Security,Real,209033666666.6667,11.0,-5.75,221404074070.0,221404074070.0,185957074070.0,209033666666.6667,173586666666.6667,0.0031726828424851906,209072914045.9898,173625914045.9898
Max,97,24740814814.0,Outlay,Spacer 12,Spacer,,12.0,-5.75,246144888884.0,246144888884.0,221404074070.0,209033666666.6667,209033666666.6667,0.0031726828424851906,209151408804.65927,209072914045.9898
Max,97,49302000000.0,Outlay,Health,Real,258335666666.6667,13.0,-5.75,295446888884.0,295446888884.0,246144888884.0,258335666666.6667,209033666666.6667,0.0031726828424851906,258453408804.65927,209151408804.65927
Max,97,24740814814.0,Outlay,Spacer 14,Spacer,,14.0,-5.75,320187703698.0,320187703698.0,295446888884.0,258335666666.6667,258335666666.6667,0.0031726828424851906,258531903563.32877,258453408804.65927
Max,97,51993000000.0,Outlay,National Defense,Real,310328666666.6667,15.0,-5.75,372180703698.0,372180703698.0,320187703698.0,310328666666.6667,258335666666.6667,0.0031726828424851906,310524903563.32874,258531903563.32877
Max,97,24740814814.0,Outlay,Spacer 16,Spacer,,16.0,-5.75,396921518512.0,396921518512.0,372180703698.0,310328666666.6667,310328666666.6667,0.0031726828424851906,310603398321.9982,310524903563.32874
Max,97,55843000000.0,Outlay,Medicare,Real,366171666666.6667,17.0,-5.75,452764518512.0,452764518512.0,396921518512.0,366171666666.6667,310328666666.6667,0.0031726828424851906,366446398321.9982,310603398321.9982
