MinMax,Path,Stage3_Outlay_Amount,Stage3_Outlay_Type,Stage4_Function,Stage4_Row_Type,pillar3_cumsum,pillar4_rank_n,t,pillar4_cumsum,Stage4_Top,Stage4_Bot,Stage3_Top,Stage3_Bot,sigmoid,curve_top_out,curve_bot_out
Max,98,151868000000.0,Dummy,Dummy_Function,Spacer,151868000000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Max,98,4177000000.0,Outlay,Other,Real,156045000000.0,1.0,-6.0,4177000000.0,4177000000.0,0.0,156045000000.0,151868000000.0,0.002472623156634775,155669487666.44818,151492487666.44818
Max,98,48616400000.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,52793400000.0,52793400000.0,4177000000.0,156045000000.0,156045000000.0,0.002472623156634775,155789697702.8804,155669487666.44818
Max,98,4239000000.0,Outlay,Administration of Justice,Real,160284000000.0,3.0,-6.0,57032400000.0,57032400000.0,52793400000.0,160284000000.0,156045000000.0,0.002472623156634775,160028697702.8804,155789697702.8804
Max,98,48616400000.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,105648800000.0,105648800000.0,57032400000.0,160284000000.0,160284000000.0,0.002472623156634775,160148907739.31262,160028697702.8804
Max,98,5986000000.0,Outlay,Transportation,Real,166270000000.0,5.0,-6.0,111634800000.0,111634800000.0,105648800000.0,166270000000.0,160284000000.0,0.002472623156634775,166134907739.31262,160148907739.31262
Max,98,48616400000.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,160251200000.0,160251200000.0,111634800000.0,166270000000.0,166270000000.0,0.002472623156634775,166255117775.74484,166134907739.31262
Max,98,7035000000.0,Outlay,Veterans Benefits and Services,Real,173305000000.0,7.0,-6.0,167286200000.0,167286200000.0,160251200000.0,173305000000.0,166270000000.0,0.002472623156634775,173290117775.74484,166255117775.74484
Max,98,48616400000.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,215902600000.0,215902600000.0,167286200000.0,173305000000.0,173305000000.0,0.002472623156634775,173410327812.17706,173290117775.74484
Max,98,7356000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,180661000000.0,9.0,-6.0,223258600000.0,223258600000.0,215902600000.0,180661000000.0,173305000000.0,0.002472623156634775,180766327812.17706,173410327812.17706
Max,98,48616400000.0,Outlay,Spacer 10,Spacer,,10.0,-6.0,271875000000.0,271875000000.0,223258600000.0,180661000000.0,180661000000.0,0.002472623156634775,180886537848.60928,180766327812.17706
Max,98,22368000000.0,Outlay,Medicare,Real,203029000000.0,11.0,-6.0,294243000000.0,294243000000.0,271875000000.0,203029000000.0,180661000000.0,0.002472623156634775,203254537848.60928,180886537848.60928
Max,98,48616400000.0,Outlay,Spacer 12,Spacer,,12.0,-6.0,342859400000.0,342859400000.0,294243000000.0,203029000000.0,203029000000.0,0.002472623156634775,203374747885.0415,203254537848.60928
Max,98,27440000000.0,Outlay,Net Interest,Real,230469000000.0,13.0,-6.0,370299400000.0,370299400000.0,342859400000.0,230469000000.0,203029000000.0,0.002472623156634775,230814747885.0415,203374747885.0415
Max,98,48616400000.0,Outlay,Spacer 14,Spacer,,14.0,-6.0,418915800000.0,418915800000.0,370299400000.0,230469000000.0,230469000000.0,0.002472623156634775,230934957921.47372,230814747885.0415
Max,98,35956000000.0,Outlay,Income Security,Real,266425000000.0,15.0,-6.0,454871800000.0,454871800000.0,418915800000.0,266425000000.0,230469000000.0,0.002472623156634775,266890957921.47372,230934957921.47372
Max,98,48616400000.0,Outlay,Spacer 16,Spacer,,16.0,-6.0,503488200000.0,503488200000.0,454871800000.0,266425000000.0,266425000000.0,0.002472623156634775,267011167957.90594,266890957921.47372
Max,98,39612000000.0,Outlay,Health,Real,306037000000.0,17.0,-6.0,543100200000.0,543100200000.0,503488200000.0,306037000000.0,266425000000.0,0.002472623156634775,306623167957.90594,267011167957.90594
Max,98,48616400000.0,Outlay,Spacer 18,Spacer,,18.0,-6.0,591716600000.0,591716600000.0,543100200000.0,306037000000.0,306037000000.0,0.002472623156634775,306743377994.33813,306623167957.90594
Max,98,40373000000.0,Outlay,National Defense,Real,346410000000.0,19.0,-6.0,632089600000.0,632089600000.0,591716600000.0,346410000000.0,306037000000.0,0.002472623156634775,347116377994.33813,306743377994.33813
Max,98,48616400000.0,Outlay,Spacer 20,Spacer,,20.0,-6.0,680706000000.0,680706000000.0,632089600000.0,346410000000.0,346410000000.0,0.002472623156634775,347236588030.7704,347116377994.33813
Max,98,78634000000.0,Outlay,Social Security,Real,425044000000.0,21.0,-6.0,759340000000.0,759340000000.0,680706000000.0,425044000000.0,346410000000.0,0.002472623156634775,425870588030.7704,347236588030.7704
Max,98,182428000000.0,Surplus,Surplus,Real,607472000000.0,22.0,-6.0,941768000000.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Min,1,151868000000.0,Dummy,Dummy_Function,Spacer,151868000000.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Min,1,4177000000.0,Outlay,Other,Real,156045000000.0,1.0,-6.0,4177000000.0,4177000000.0,0.0,156045000000.0,151868000000.0,0.002472623156634775,155669487666.44818,151492487666.44818
Min,1,48616400000.0,Outlay,Spacer 2,Spacer,,2.0,-6.0,52793400000.0,52793400000.0,4177000000.0,156045000000.0,156045000000.0,0.002472623156634775,155789697702.8804,155669487666.44818
Min,1,4239000000.0,Outlay,Administration of Justice,Real,160284000000.0,3.0,-6.0,57032400000.0,57032400000.0,52793400000.0,160284000000.0,156045000000.0,0.002472623156634775,160028697702.8804,155789697702.8804
Min,1,48616400000.0,Outlay,Spacer 4,Spacer,,4.0,-6.0,105648800000.0,105648800000.0,57032400000.0,160284000000.0,160284000000.0,0.002472623156634775,160148907739.31262,160028697702.8804
Min,1,5986000000.0,Outlay,Transportation,Real,166270000000.0,5.0,-6.0,111634800000.0,111634800000.0,105648800000.0,166270000000.0,160284000000.0,0.002472623156634775,166134907739.31262,160148907739.31262
Min,1,48616400000.0,Outlay,Spacer 6,Spacer,,6.0,-6.0,160251200000.0,160251200000.0,111634800000.0,166270000000.0,166270000000.0,0.002472623156634775,166255117775.74484,166134907739.31262
Min,1,7035000000.0,Outlay,Veterans Benefits and Services,Real,173305000000.0,7.0,-6.0,167286200000.0,167286200000.0,160251200000.0,173305000000.0,166270000000.0,0.002472623156634775,173290117775.74484,166255117775.74484
Min,1,48616400000.0,Outlay,Spacer 8,Spacer,,8.0,-6.0,215902600000.0,215902600000.0,167286200000.0,173305000000.0,173305000000.0,0.002472623156634775,173410327812.17706,173290117775.74484
Min,1,7356000000.0,Outlay,"Education, Training, Employment, and Social Services",Real,180661000000.0,9.0,-6.0,223258600000.0,223258600000.0,215902600000.0,180661000000.0,173305000000.0,0.002472623156634775,180766327812.17706,173410327812.17706
Min,1,48616400000.0,Outlay,Spacer 10,Spacer,,10.0,-6.0,271875000000.0,271875000000.0,223258600000.0,180661000000.0,180661000000.0,0.002472623156634775,180886537848.60928,180766327812.17706
Min,1,22368000000.0,Outlay,Medicare,Real,203029000000.0,11.0,-6.0,294243000000.0,294243000000.0,271875000000.0,203029000000.0,180661000000.0,0.002472623156634775,203254537848.60928,180886537848.60928
Min,1,48616400000.0,Outlay,Spacer 12,Spacer,,12.0,-6.0,342859400000.0,342859400000.0,294243000000.0,203029000000.0,203029000000.0,0.002472623156634775,203374747885.0415,203254537848.60928
Min,1,27440000000.0,Outlay,Net Interest,Real,230469000000.0,13.0,-6.0,370299400000.0,370299400000.0,342859400000.0,230469000000.0,203029000000.0,0.002472623156634775,230814747885.0415,203374747885.0415
Min,1,48616400000.0,Outlay,Spacer 14,Spacer,,14.0,-6.0,418915800000.0,418915800000.0,370299400000.0,230469000000.0,230469000000.0,0.002472623156634775,230934957921.47372,230814747885.0415
Min,1,35956000000.0,Outlay,Income Security,Real,266425000000.0,15.0,-6.0,454871800000.0,454871800000.0,418915800000.0,266425000000.0,230469000000.0,0.002472623156634775,266890957921.47372,230934957921.47372
Min,1,48616400000.0,Outlay,Spacer 16,Spacer,,16.0,-6.0,503488200000.0,503488200000.0,454871800000.0,266425000000.0,266425000000.0,0.002472623156634775,267011167957.90594,266890957921.47372
Min,1,39612000000.0,Outlay,Health,Real,306037000000.0,17.0,-6.0,543100200000.0,543100200000.0,503488200000.0,306037000000.0,266425000000.0,0.002472623156634775,306623167957.90594,267011167957.90594
Min,1,48616400000.0,Outlay,Spacer 18,Spacer,,18.0,-6.0,591716600000.0,591716600000.0,543100200000.0,306037000000.0,306037000000.0,0.002472623156634775,306743377994.33813,306623167957.90594
Min,1,40373000000.0,Outlay,National Defense,Real,346410000000.0,19.0,-6.0,632089600000.0,632089600000.0,591716600000.0,346410000000.0,306037000000.0,0.002472623156634775,347116377994.33813,306743377994.33813
Min,1,48616400000.0,Outlay,Spacer 20,Spacer,,20.0,-6.0,680706000000.0,680706000000.0,632089600000.0,346410000000.0,346410000000.0,0.002472623156634775,347236588030.7704,347116377994.33813
Min,1,78634000000.0,Outlay,Social Security,Real,425044000000.0,21.0,-6.0,759340000000.0,759340000000.0,680706000000.0,425044000000.0,346410000000.0,0.002472623156634775,425870588030.7704,347236588030.7704
Min,1,182428000000.0,Surplus,Surplus,Real,607472000000.0,22.0,-6.0,941768000000.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
