Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Spacer 11,45781583333.0,Receipt,Spacer,-6.0,1,Min,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.002472623156634775,256346652616.36673,210678269886.46332
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-6.0,1,Min,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.002472623156634775,345820652616.36676,256346652616.36673
Spacer 13,45781583333.0,Receipt,Spacer,-6.0,1,Min,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.002472623156634775,391489035346.27014,345820652616.36676
Individual Income Taxes,109306000000.0,Receipt,Real,-6.0,1,Min,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.002472623156634775,500795035346.27014,391489035346.27014
Dummy_Source,83500250000.0,Dummy,Spacer,-5.75,97,Max,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-5.75,97,Max,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-5.75,97,Max,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.0031726828424851906,1943582853.1426117,606582853.1426117
Spacer 3,45781583333.0,Receipt,Spacer,-5.75,97,Max,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.0031726828424851906,47579915742.200195,1943582853.1426117
Estate and Gift Taxes,1765000000.0,Receipt,Real,-5.75,97,Max,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.0031726828424851906,49344915742.200195,47579915742.200195
Spacer 5,45781583333.0,Receipt,Spacer,-5.75,97,Max,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.0031726828424851906,94981248631.25778,49344915742.200195
Customs Duties,2947000000.0,Receipt,Real,-5.75,97,Max,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.0031726828424851906,97928248631.25778,94981248631.25778
Spacer 7,45781583333.0,Receipt,Spacer,-5.75,97,Max,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.0031726828424851906,143564581520.31537,97928248631.25778
Excise Taxes,7416000000.0,Receipt,Real,-5.75,97,Max,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.0031726828424851906,150980581520.31537,143564581520.31537
Spacer 9,45781583333.0,Receipt,Spacer,-5.75,97,Max,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.0031726828424851906,196616914409.37296,150980581520.31537
Miscellaneous Receipts,14067000000.0,Receipt,Real,-5.75,97,Max,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.0031726828424851906,210683914409.37296,196616914409.37296
Spacer 11,45781583333.0,Receipt,Spacer,-5.75,97,Max,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.0031726828424851906,256320247298.43054,210683914409.37296
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-5.75,97,Max,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.0031726828424851906,345794247298.43054,256320247298.43054
Spacer 13,45781583333.0,Receipt,Spacer,-5.75,97,Max,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.0031726828424851906,391430580187.4881,345794247298.43054
Individual Income Taxes,109306000000.0,Receipt,Real,-5.75,97,Max,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.0031726828424851906,500736580187.4881,391430580187.4881
Dummy_Source,83500250000.0,Dummy,Spacer,-5.75,2,Min,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-5.75,2,Min,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-5.75,2,Min,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.0031726828424851906,1943582853.1426117,606582853.1426117
Spacer 3,45781583333.0,Receipt,Spacer,-5.75,2,Min,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.0031726828424851906,47579915742.200195,1943582853.1426117
Estate and Gift Taxes,1765000000.0,Receipt,Real,-5.75,2,Min,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.0031726828424851906,49344915742.200195,47579915742.200195
Spacer 5,45781583333.0,Receipt,Spacer,-5.75,2,Min,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.0031726828424851906,94981248631.25778,49344915742.200195
Customs Duties,2947000000.0,Receipt,Real,-5.75,2,Min,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.0031726828424851906,97928248631.25778,94981248631.25778
Spacer 7,45781583333.0,Receipt,Spacer,-5.75,2,Min,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.0031726828424851906,143564581520.31537,97928248631.25778
Excise Taxes,7416000000.0,Receipt,Real,-5.75,2,Min,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.0031726828424851906,150980581520.31537,143564581520.31537
Spacer 9,45781583333.0,Receipt,Spacer,-5.75,2,Min,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.0031726828424851906,196616914409.37296,150980581520.31537
Miscellaneous Receipts,14067000000.0,Receipt,Real,-5.75,2,Min,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.0031726828424851906,210683914409.37296,196616914409.37296
Spacer 11,45781583333.0,Receipt,Spacer,-5.75,2,Min,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.0031726828424851906,256320247298.43054,210683914409.37296
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-5.75,2,Min,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.0031726828424851906,345794247298.43054,256320247298.43054
Spacer 13,45781583333.0,Receipt,Spacer,-5.75,2,Min,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.0031726828424851906,391430580187.4881,345794247298.43054
Individual Income Taxes,109306000000.0,Receipt,Real,-5.75,2,Min,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.0031726828424851906,500736580187.4881,391430580187.4881
Dummy_Source,83500250000.0,Dummy,Spacer,-5.5,96,Max,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-5.5,96,Max,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-5.5,96,Max,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.0040701377158961285,2115166577.298894,778166577.2988939
Spacer 3,45781583333.0,Receipt,Spacer,-5.5,96,Max,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.0040701377158961285,47710412561.28181,2115166577.298894
Estate and Gift Taxes,1765000000.0,Receipt,Real,-5.5,96,Max,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.0040701377158961285,49475412561.28181,47710412561.28181
Spacer 5,45781583333.0,Receipt,Spacer,-5.5,96,Max,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.0040701377158961285,95070658545.26472,49475412561.28181
Customs Duties,2947000000.0,Receipt,Real,-5.5,96,Max,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.0040701377158961285,98017658545.26472,95070658545.26472
Spacer 7,45781583333.0,Receipt,Spacer,-5.5,96,Max,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.0040701377158961285,143612904529.24765,98017658545.26472
Excise Taxes,7416000000.0,Receipt,Real,-5.5,96,Max,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.0040701377158961285,151028904529.24765,143612904529.24765
Spacer 9,45781583333.0,Receipt,Spacer,-5.5,96,Max,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.0040701377158961285,196624150513.23056,151028904529.24765
Miscellaneous Receipts,14067000000.0,Receipt,Real,-5.5,96,Max,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.0040701377158961285,210691150513.23056,196624150513.23056
Spacer 11,45781583333.0,Receipt,Spacer,-5.5,96,Max,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.0040701377158961285,256286396497.21347,210691150513.23056
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-5.5,96,Max,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.0040701377158961285,345760396497.21344,256286396497.21347
Spacer 13,45781583333.0,Receipt,Spacer,-5.5,96,Max,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.0040701377158961285,391355642481.1964,345760396497.21344
Individual Income Taxes,109306000000.0,Receipt,Real,-5.5,96,Max,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.0040701377158961285,500661642481.1964,391355642481.1964
Dummy_Source,83500250000.0,Dummy,Spacer,-5.5,3,Min,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-5.5,3,Min,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-5.5,3,Min,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.0040701377158961285,2115166577.298894,778166577.2988939
Spacer 3,45781583333.0,Receipt,Spacer,-5.5,3,Min,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.0040701377158961285,47710412561.28181,2115166577.298894
Estate and Gift Taxes,1765000000.0,Receipt,Real,-5.5,3,Min,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.0040701377158961285,49475412561.28181,47710412561.28181
Spacer 5,45781583333.0,Receipt,Spacer,-5.5,3,Min,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.0040701377158961285,95070658545.26472,49475412561.28181
Customs Duties,2947000000.0,Receipt,Real,-5.5,3,Min,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.0040701377158961285,98017658545.26472,95070658545.26472
Spacer 7,45781583333.0,Receipt,Spacer,-5.5,3,Min,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.0040701377158961285,143612904529.24765,98017658545.26472
Excise Taxes,7416000000.0,Receipt,Real,-5.5,3,Min,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.0040701377158961285,151028904529.24765,143612904529.24765
Spacer 9,45781583333.0,Receipt,Spacer,-5.5,3,Min,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.0040701377158961285,196624150513.23056,151028904529.24765
Miscellaneous Receipts,14067000000.0,Receipt,Real,-5.5,3,Min,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.0040701377158961285,210691150513.23056,196624150513.23056
Spacer 11,45781583333.0,Receipt,Spacer,-5.5,3,Min,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.0040701377158961285,256286396497.21347,210691150513.23056
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-5.5,3,Min,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.0040701377158961285,345760396497.21344,256286396497.21347
Spacer 13,45781583333.0,Receipt,Spacer,-5.5,3,Min,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.0040701377158961285,391355642481.1964,345760396497.21344
Individual Income Taxes,109306000000.0,Receipt,Real,-5.5,3,Min,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.0040701377158961285,500661642481.1964,391355642481.1964
Dummy_Source,83500250000.0,Dummy,Spacer,-5.25,95,Max,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-5.25,95,Max,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-5.25,95,Max,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.005220125693558399,2335031916.25716,998031916.2571602
Spacer 3,45781583333.0,Receipt,Spacer,-5.25,95,Max,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.005220125693558399,47877629629.808784,2335031916.25716
Estate and Gift Taxes,1765000000.0,Receipt,Real,-5.25,95,Max,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.005220125693558399,49642629629.808784,47877629629.808784
Spacer 5,45781583333.0,Receipt,Spacer,-5.25,95,Max,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.005220125693558399,95185227343.3604,49642629629.808784
Customs Duties,2947000000.0,Receipt,Real,-5.25,95,Max,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.005220125693558399,98132227343.3604,95185227343.3604
Spacer 7,45781583333.0,Receipt,Spacer,-5.25,95,Max,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.005220125693558399,143674825056.91202,98132227343.3604
Excise Taxes,7416000000.0,Receipt,Real,-5.25,95,Max,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.005220125693558399,151090825056.91202,143674825056.91202
Spacer 9,45781583333.0,Receipt,Spacer,-5.25,95,Max,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.005220125693558399,196633422770.46365,151090825056.91202
Miscellaneous Receipts,14067000000.0,Receipt,Real,-5.25,95,Max,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.005220125693558399,210700422770.46365,196633422770.46365
Spacer 11,45781583333.0,Receipt,Spacer,-5.25,95,Max,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.005220125693558399,256243020484.01526,210700422770.46365
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-5.25,95,Max,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.005220125693558399,345717020484.01526,256243020484.01526
Spacer 13,45781583333.0,Receipt,Spacer,-5.25,95,Max,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.005220125693558399,391259618197.5669,345717020484.01526
Individual Income Taxes,109306000000.0,Receipt,Real,-5.25,95,Max,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.005220125693558399,500565618197.5669,391259618197.5669
Dummy_Source,83500250000.0,Dummy,Spacer,-5.25,4,Min,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-5.25,4,Min,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-5.25,4,Min,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.005220125693558399,2335031916.25716,998031916.2571602
Spacer 3,45781583333.0,Receipt,Spacer,-5.25,4,Min,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.005220125693558399,47877629629.808784,2335031916.25716
Estate and Gift Taxes,1765000000.0,Receipt,Real,-5.25,4,Min,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.005220125693558399,49642629629.808784,47877629629.808784
Spacer 5,45781583333.0,Receipt,Spacer,-5.25,4,Min,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.005220125693558399,95185227343.3604,49642629629.808784
Customs Duties,2947000000.0,Receipt,Real,-5.25,4,Min,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.005220125693558399,98132227343.3604,95185227343.3604
Spacer 7,45781583333.0,Receipt,Spacer,-5.25,4,Min,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.005220125693558399,143674825056.91202,98132227343.3604
Excise Taxes,7416000000.0,Receipt,Real,-5.25,4,Min,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.005220125693558399,151090825056.91202,143674825056.91202
Spacer 9,45781583333.0,Receipt,Spacer,-5.25,4,Min,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.005220125693558399,196633422770.46365,151090825056.91202
Miscellaneous Receipts,14067000000.0,Receipt,Real,-5.25,4,Min,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.005220125693558399,210700422770.46365,196633422770.46365
Spacer 11,45781583333.0,Receipt,Spacer,-5.25,4,Min,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.005220125693558399,256243020484.01526,210700422770.46365
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-5.25,4,Min,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.005220125693558399,345717020484.01526,256243020484.01526
Spacer 13,45781583333.0,Receipt,Spacer,-5.25,4,Min,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.005220125693558399,391259618197.5669,345717020484.01526
Individual Income Taxes,109306000000.0,Receipt,Real,-5.25,4,Min,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.005220125693558399,500565618197.5669,391259618197.5669
Dummy_Source,83500250000.0,Dummy,Spacer,-5.0,94,Max,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.006692850924284857,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-5.0,94,Max,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.006692850924284857,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-5.0,94,Max,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.006692850924284857,2616601148.5758286,1279601148.5758286
Spacer 3,45781583333.0,Receipt,Spacer,-5.0,94,Max,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.006692850924284857,48091775169.250336,2616601148.5758286
Estate and Gift Taxes,1765000000.0,Receipt,Real,-5.0,94,Max,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.006692850924284857,49856775169.250336,48091775169.250336
Spacer 5,45781583333.0,Receipt,Spacer,-5.0,94,Max,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.006692850924284857,95331949189.92484,49856775169.250336
Customs Duties,2947000000.0,Receipt,Real,-5.0,94,Max,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.006692850924284857,98278949189.92484,95331949189.92484
Spacer 7,45781583333.0,Receipt,Spacer,-5.0,94,Max,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.006692850924284857,143754123210.59933,98278949189.92484
Excise Taxes,7416000000.0,Receipt,Real,-5.0,94,Max,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.006692850924284857,151170123210.59933,143754123210.59933
Spacer 9,45781583333.0,Receipt,Spacer,-5.0,94,Max,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.006692850924284857,196645297231.27386,151170123210.59933
Miscellaneous Receipts,14067000000.0,Receipt,Real,-5.0,94,Max,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.006692850924284857,210712297231.27386,196645297231.27386
Spacer 11,45781583333.0,Receipt,Spacer,-5.0,94,Max,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.006692850924284857,256187471251.94836,210712297231.27386
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-5.0,94,Max,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.006692850924284857,345661471251.94836,256187471251.94836
Spacer 13,45781583333.0,Receipt,Spacer,-5.0,94,Max,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.006692850924284857,391136645272.62286,345661471251.94836
Individual Income Taxes,109306000000.0,Receipt,Real,-5.0,94,Max,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.006692850924284857,500442645272.62286,391136645272.62286
Dummy_Source,83500250000.0,Dummy,Spacer,-5.0,5,Min,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.006692850924284857,0.0,0.0
