Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Dummy_Source,83500250000.0,Dummy,Spacer,-6.0,98,Max,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-6.0,98,Max,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-6.0,98,Max,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.002472623156634775,1809738966.8496351,472738966.8496352
Spacer 3,45781583333.0,Receipt,Spacer,-6.0,98,Max,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.002472623156634775,47478121696.75305,1809738966.8496351
Estate and Gift Taxes,1765000000.0,Receipt,Real,-6.0,98,Max,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.002472623156634775,49243121696.75305,47478121696.75305
Spacer 5,45781583333.0,Receipt,Spacer,-6.0,98,Max,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.002472623156634775,94911504426.65648,49243121696.75305
Customs Duties,2947000000.0,Receipt,Real,-6.0,98,Max,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.002472623156634775,97858504426.65648,94911504426.65648
Spacer 7,45781583333.0,Receipt,Spacer,-6.0,98,Max,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.002472623156634775,143526887156.5599,97858504426.65648
Excise Taxes,7416000000.0,Receipt,Real,-6.0,98,Max,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.002472623156634775,150942887156.5599,143526887156.5599
Spacer 9,45781583333.0,Receipt,Spacer,-6.0,98,Max,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.002472623156634775,196611269886.46332,150942887156.5599
Miscellaneous Receipts,14067000000.0,Receipt,Real,-6.0,98,Max,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.002472623156634775,210678269886.46332,196611269886.46332
Spacer 11,45781583333.0,Receipt,Spacer,-6.0,98,Max,11.0,,256439916665.0,256439916665.0,210658333332.0,218721250000.0,218721250000.0,0.002472623156634775,256346652616.36673,210678269886.46332
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-6.0,98,Max,12.0,308195250000.0,345913916665.0,345913916665.0,256439916665.0,308195250000.0,218721250000.0,0.002472623156634775,345820652616.36676,256346652616.36673
Spacer 13,45781583333.0,Receipt,Spacer,-6.0,98,Max,13.0,,391695499998.0,391695499998.0,345913916665.0,308195250000.0,308195250000.0,0.002472623156634775,391489035346.27014,345820652616.36676
Individual Income Taxes,109306000000.0,Receipt,Real,-6.0,98,Max,14.0,417501250000.0,501001499998.0,501001499998.0,391695499998.0,417501250000.0,308195250000.0,0.002472623156634775,500795035346.27014,391489035346.27014
Dummy_Source,83500250000.0,Dummy,Spacer,-6.0,1,Min,0.0,83500250000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-6.0,1,Min,1.0,191189250000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-6.0,1,Min,2.0,192526250000.0,1337000000.0,1337000000.0,0.0,192526250000.0,191189250000.0,0.002472623156634775,1809738966.8496351,472738966.8496352
Spacer 3,45781583333.0,Receipt,Spacer,-6.0,1,Min,3.0,,47118583333.0,47118583333.0,1337000000.0,192526250000.0,192526250000.0,0.002472623156634775,47478121696.75305,1809738966.8496351
Estate and Gift Taxes,1765000000.0,Receipt,Real,-6.0,1,Min,4.0,194291250000.0,48883583333.0,48883583333.0,47118583333.0,194291250000.0,192526250000.0,0.002472623156634775,49243121696.75305,47478121696.75305
Spacer 5,45781583333.0,Receipt,Spacer,-6.0,1,Min,5.0,,94665166666.0,94665166666.0,48883583333.0,194291250000.0,194291250000.0,0.002472623156634775,94911504426.65648,49243121696.75305
Customs Duties,2947000000.0,Receipt,Real,-6.0,1,Min,6.0,197238250000.0,97612166666.0,97612166666.0,94665166666.0,197238250000.0,194291250000.0,0.002472623156634775,97858504426.65648,94911504426.65648
Spacer 7,45781583333.0,Receipt,Spacer,-6.0,1,Min,7.0,,143393749999.0,143393749999.0,97612166666.0,197238250000.0,197238250000.0,0.002472623156634775,143526887156.5599,97858504426.65648
Excise Taxes,7416000000.0,Receipt,Real,-6.0,1,Min,8.0,204654250000.0,150809749999.0,150809749999.0,143393749999.0,204654250000.0,197238250000.0,0.002472623156634775,150942887156.5599,143526887156.5599
Spacer 9,45781583333.0,Receipt,Spacer,-6.0,1,Min,9.0,,196591333332.0,196591333332.0,150809749999.0,204654250000.0,204654250000.0,0.002472623156634775,196611269886.46332,150942887156.5599
Miscellaneous Receipts,14067000000.0,Receipt,Real,-6.0,1,Min,10.0,218721250000.0,210658333332.0,210658333332.0,196591333332.0,218721250000.0,204654250000.0,0.002472623156634775,210678269886.46332,196611269886.46332
