Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Deficit,88426000000.0,Deficit,Real,-6.0,1,Min,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-6.0,1,Min,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.002472623156634775,2480906490.912064,465906490.91206414
Spacer 3,40000000000.0,Receipt,Spacer,-6.0,1,Min,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.002472623156634775,42382001564.646675,2480906490.912064
Customs Duties,2421000000.0,Receipt,Real,-6.0,1,Min,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.002472623156634775,44803001564.646675,42382001564.646675
Spacer 5,40000000000.0,Receipt,Spacer,-6.0,1,Min,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.002472623156634775,84704096638.38129,44803001564.646675
Corporation Income Taxes,5935000000.0,Receipt,Real,-6.0,1,Min,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.002472623156634775,90639096638.38129,84704096638.38129
Spacer 7,40000000000.0,Receipt,Spacer,-6.0,1,Min,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.002472623156634775,130540191712.11589,90639096638.38129
Excise Taxes,8123000000.0,Receipt,Real,-6.0,1,Min,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.002472623156634775,138663191712.1159,130540191712.11589
Spacer 9,40000000000.0,Receipt,Spacer,-6.0,1,Min,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.002472623156634775,178564286785.8505,138663191712.1159
Miscellaneous Receipts,11516000000.0,Receipt,Real,-6.0,1,Min,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.002472623156634775,190080286785.8505,178564286785.8505
Spacer 11,40000000000.0,Receipt,Spacer,-6.0,1,Min,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.002472623156634775,229981381859.5851,190080286785.8505
Individual Income Taxes,103981000000.0,Receipt,Real,-6.0,1,Min,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.002472623156634775,333962381859.5851,229981381859.5851
Spacer 13,40000000000.0,Receipt,Spacer,-6.0,1,Min,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.002472623156634775,373863476933.3197,333962381859.5851
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-6.0,1,Min,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.002472623156634775,480288476933.3197,373863476933.3197
Dummy_Source,100000000000.0,Dummy,Spacer,-5.75,97,Max,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Deficit,88426000000.0,Deficit,Real,-5.75,97,Max,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-5.75,97,Max,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.0031726828424851906,2612815937.2781143,597815937.2781146
Spacer 3,40000000000.0,Receipt,Spacer,-5.75,97,Max,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.0031726828424851906,42485908623.578705,2612815937.2781143
Customs Duties,2421000000.0,Receipt,Real,-5.75,97,Max,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.0031726828424851906,44906908623.578705,42485908623.578705
Spacer 5,40000000000.0,Receipt,Spacer,-5.75,97,Max,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.0031726828424851906,84780001309.8793,44906908623.578705
Corporation Income Taxes,5935000000.0,Receipt,Real,-5.75,97,Max,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.0031726828424851906,90715001309.8793,84780001309.8793
Spacer 7,40000000000.0,Receipt,Spacer,-5.75,97,Max,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.0031726828424851906,130588093996.17989,90715001309.8793
Excise Taxes,8123000000.0,Receipt,Real,-5.75,97,Max,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.0031726828424851906,138711093996.1799,130588093996.17989
Spacer 9,40000000000.0,Receipt,Spacer,-5.75,97,Max,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.0031726828424851906,178584186682.4805,138711093996.1799
Miscellaneous Receipts,11516000000.0,Receipt,Real,-5.75,97,Max,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.0031726828424851906,190100186682.4805,178584186682.4805
Spacer 11,40000000000.0,Receipt,Spacer,-5.75,97,Max,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.0031726828424851906,229973279368.78107,190100186682.4805
Individual Income Taxes,103981000000.0,Receipt,Real,-5.75,97,Max,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.0031726828424851906,333954279368.78107,229973279368.78107
Spacer 13,40000000000.0,Receipt,Spacer,-5.75,97,Max,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.0031726828424851906,373827372055.08167,333954279368.78107
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-5.75,97,Max,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.0031726828424851906,480252372055.08167,373827372055.08167
Dummy_Source,100000000000.0,Dummy,Spacer,-5.75,2,Min,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Deficit,88426000000.0,Deficit,Real,-5.75,2,Min,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.0031726828424851906,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-5.75,2,Min,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.0031726828424851906,2612815937.2781143,597815937.2781146
Spacer 3,40000000000.0,Receipt,Spacer,-5.75,2,Min,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.0031726828424851906,42485908623.578705,2612815937.2781143
Customs Duties,2421000000.0,Receipt,Real,-5.75,2,Min,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.0031726828424851906,44906908623.578705,42485908623.578705
Spacer 5,40000000000.0,Receipt,Spacer,-5.75,2,Min,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.0031726828424851906,84780001309.8793,44906908623.578705
Corporation Income Taxes,5935000000.0,Receipt,Real,-5.75,2,Min,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.0031726828424851906,90715001309.8793,84780001309.8793
Spacer 7,40000000000.0,Receipt,Spacer,-5.75,2,Min,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.0031726828424851906,130588093996.17989,90715001309.8793
Excise Taxes,8123000000.0,Receipt,Real,-5.75,2,Min,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.0031726828424851906,138711093996.1799,130588093996.17989
Spacer 9,40000000000.0,Receipt,Spacer,-5.75,2,Min,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.0031726828424851906,178584186682.4805,138711093996.1799
Miscellaneous Receipts,11516000000.0,Receipt,Real,-5.75,2,Min,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.0031726828424851906,190100186682.4805,178584186682.4805
Spacer 11,40000000000.0,Receipt,Spacer,-5.75,2,Min,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.0031726828424851906,229973279368.78107,190100186682.4805
Individual Income Taxes,103981000000.0,Receipt,Real,-5.75,2,Min,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.0031726828424851906,333954279368.78107,229973279368.78107
Spacer 13,40000000000.0,Receipt,Spacer,-5.75,2,Min,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.0031726828424851906,373827372055.08167,333954279368.78107
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-5.75,2,Min,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.0031726828424851906,480252372055.08167,373827372055.08167
Dummy_Source,100000000000.0,Dummy,Spacer,-5.5,96,Max,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Deficit,88426000000.0,Deficit,Real,-5.5,96,Max,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-5.5,96,Max,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.0040701377158961285,2781919769.255444,766919769.2554439
Spacer 3,40000000000.0,Receipt,Spacer,-5.5,96,Max,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.0040701377158961285,42619114260.6196,2781919769.255444
Customs Duties,2421000000.0,Receipt,Real,-5.5,96,Max,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.0040701377158961285,45040114260.6196,42619114260.6196
Spacer 5,40000000000.0,Receipt,Spacer,-5.5,96,Max,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.0040701377158961285,84877308751.98375,45040114260.6196
Corporation Income Taxes,5935000000.0,Receipt,Real,-5.5,96,Max,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.0040701377158961285,90812308751.98375,84877308751.98375
Spacer 7,40000000000.0,Receipt,Spacer,-5.5,96,Max,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.0040701377158961285,130649503243.34792,90812308751.98375
Excise Taxes,8123000000.0,Receipt,Real,-5.5,96,Max,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.0040701377158961285,138772503243.3479,130649503243.34792
Spacer 9,40000000000.0,Receipt,Spacer,-5.5,96,Max,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.0040701377158961285,178609697734.71207,138772503243.3479
Miscellaneous Receipts,11516000000.0,Receipt,Real,-5.5,96,Max,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.0040701377158961285,190125697734.71207,178609697734.71207
Spacer 11,40000000000.0,Receipt,Spacer,-5.5,96,Max,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.0040701377158961285,229962892226.07623,190125697734.71207
Individual Income Taxes,103981000000.0,Receipt,Real,-5.5,96,Max,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.0040701377158961285,333943892226.07623,229962892226.07623
Spacer 13,40000000000.0,Receipt,Spacer,-5.5,96,Max,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.0040701377158961285,373781086717.44037,333943892226.07623
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-5.5,96,Max,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.0040701377158961285,480206086717.44037,373781086717.44037
Dummy_Source,100000000000.0,Dummy,Spacer,-5.5,3,Min,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Deficit,88426000000.0,Deficit,Real,-5.5,3,Min,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.0040701377158961285,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-5.5,3,Min,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.0040701377158961285,2781919769.255444,766919769.2554439
Spacer 3,40000000000.0,Receipt,Spacer,-5.5,3,Min,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.0040701377158961285,42619114260.6196,2781919769.255444
Customs Duties,2421000000.0,Receipt,Real,-5.5,3,Min,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.0040701377158961285,45040114260.6196,42619114260.6196
Spacer 5,40000000000.0,Receipt,Spacer,-5.5,3,Min,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.0040701377158961285,84877308751.98375,45040114260.6196
Corporation Income Taxes,5935000000.0,Receipt,Real,-5.5,3,Min,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.0040701377158961285,90812308751.98375,84877308751.98375
Spacer 7,40000000000.0,Receipt,Spacer,-5.5,3,Min,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.0040701377158961285,130649503243.34792,90812308751.98375
Excise Taxes,8123000000.0,Receipt,Real,-5.5,3,Min,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.0040701377158961285,138772503243.3479,130649503243.34792
Spacer 9,40000000000.0,Receipt,Spacer,-5.5,3,Min,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.0040701377158961285,178609697734.71207,138772503243.3479
Miscellaneous Receipts,11516000000.0,Receipt,Real,-5.5,3,Min,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.0040701377158961285,190125697734.71207,178609697734.71207
Spacer 11,40000000000.0,Receipt,Spacer,-5.5,3,Min,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.0040701377158961285,229962892226.07623,190125697734.71207
Individual Income Taxes,103981000000.0,Receipt,Real,-5.5,3,Min,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.0040701377158961285,333943892226.07623,229962892226.07623
Spacer 13,40000000000.0,Receipt,Spacer,-5.5,3,Min,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.0040701377158961285,373781086717.44037,333943892226.07623
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-5.5,3,Min,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.0040701377158961285,480206086717.44037,373781086717.44037
Dummy_Source,100000000000.0,Dummy,Spacer,-5.25,95,Max,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Deficit,88426000000.0,Deficit,Real,-5.25,95,Max,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-5.25,95,Max,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.005220125693558399,2998607403.934435,983607403.9344349
Spacer 3,40000000000.0,Receipt,Spacer,-5.25,95,Max,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.005220125693558399,42789802376.1921,2998607403.934435
Customs Duties,2421000000.0,Receipt,Real,-5.25,95,Max,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.005220125693558399,45210802376.1921,42789802376.1921
Spacer 5,40000000000.0,Receipt,Spacer,-5.25,95,Max,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.005220125693558399,85001997348.44977,45210802376.1921
Corporation Income Taxes,5935000000.0,Receipt,Real,-5.25,95,Max,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.005220125693558399,90936997348.44977,85001997348.44977
Spacer 7,40000000000.0,Receipt,Spacer,-5.25,95,Max,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.005220125693558399,130728192320.70743,90936997348.44977
Excise Taxes,8123000000.0,Receipt,Real,-5.25,95,Max,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.005220125693558399,138851192320.70743,130728192320.70743
Spacer 9,40000000000.0,Receipt,Spacer,-5.25,95,Max,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.005220125693558399,178642387292.9651,138851192320.70743
Miscellaneous Receipts,11516000000.0,Receipt,Real,-5.25,95,Max,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.005220125693558399,190158387292.9651,178642387292.9651
Spacer 11,40000000000.0,Receipt,Spacer,-5.25,95,Max,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.005220125693558399,229949582265.22275,190158387292.9651
Individual Income Taxes,103981000000.0,Receipt,Real,-5.25,95,Max,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.005220125693558399,333930582265.2228,229949582265.22275
Spacer 13,40000000000.0,Receipt,Spacer,-5.25,95,Max,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.005220125693558399,373721777237.4804,333930582265.2228
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-5.25,95,Max,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.005220125693558399,480146777237.4804,373721777237.4804
Dummy_Source,100000000000.0,Dummy,Spacer,-5.25,4,Min,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Deficit,88426000000.0,Deficit,Real,-5.25,4,Min,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.005220125693558399,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-5.25,4,Min,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.005220125693558399,2998607403.934435,983607403.9344349
Spacer 3,40000000000.0,Receipt,Spacer,-5.25,4,Min,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.005220125693558399,42789802376.1921,2998607403.934435
Customs Duties,2421000000.0,Receipt,Real,-5.25,4,Min,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.005220125693558399,45210802376.1921,42789802376.1921
Spacer 5,40000000000.0,Receipt,Spacer,-5.25,4,Min,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.005220125693558399,85001997348.44977,45210802376.1921
Corporation Income Taxes,5935000000.0,Receipt,Real,-5.25,4,Min,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.005220125693558399,90936997348.44977,85001997348.44977
Spacer 7,40000000000.0,Receipt,Spacer,-5.25,4,Min,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.005220125693558399,130728192320.70743,90936997348.44977
Excise Taxes,8123000000.0,Receipt,Real,-5.25,4,Min,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.005220125693558399,138851192320.70743,130728192320.70743
Spacer 9,40000000000.0,Receipt,Spacer,-5.25,4,Min,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.005220125693558399,178642387292.9651,138851192320.70743
Miscellaneous Receipts,11516000000.0,Receipt,Real,-5.25,4,Min,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.005220125693558399,190158387292.9651,178642387292.9651
Spacer 11,40000000000.0,Receipt,Spacer,-5.25,4,Min,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.005220125693558399,229949582265.22275,190158387292.9651
Individual Income Taxes,103981000000.0,Receipt,Real,-5.25,4,Min,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.005220125693558399,333930582265.2228,229949582265.22275
Spacer 13,40000000000.0,Receipt,Spacer,-5.25,4,Min,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.005220125693558399,373721777237.4804,333930582265.2228
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-5.25,4,Min,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.005220125693558399,480146777237.4804,373721777237.4804
Dummy_Source,100000000000.0,Dummy,Spacer,-5.0,94,Max,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.006692850924284857,0.0,0.0
Deficit,88426000000.0,Deficit,Real,-5.0,94,Max,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.006692850924284857,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-5.0,94,Max,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.006692850924284857,3276107128.2592983,1261107128.2592986
Spacer 3,40000000000.0,Receipt,Spacer,-5.0,94,Max,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.006692850924284857,43008393091.2879,3276107128.2592983
Customs Duties,2421000000.0,Receipt,Real,-5.0,94,Max,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.006692850924284857,45429393091.2879,43008393091.2879
Spacer 5,40000000000.0,Receipt,Spacer,-5.0,94,Max,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.006692850924284857,85161679054.31651,45429393091.2879
Corporation Income Taxes,5935000000.0,Receipt,Real,-5.0,94,Max,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.006692850924284857,91096679054.31651,85161679054.31651
Spacer 7,40000000000.0,Receipt,Spacer,-5.0,94,Max,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.006692850924284857,130828965017.34512,91096679054.31651
Excise Taxes,8123000000.0,Receipt,Real,-5.0,94,Max,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.006692850924284857,138951965017.34512,130828965017.34512
Spacer 9,40000000000.0,Receipt,Spacer,-5.0,94,Max,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.006692850924284857,178684250980.37372,138951965017.34512
Miscellaneous Receipts,11516000000.0,Receipt,Real,-5.0,94,Max,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.006692850924284857,190200250980.37372,178684250980.37372
Spacer 11,40000000000.0,Receipt,Spacer,-5.0,94,Max,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.006692850924284857,229932536943.4023,190200250980.37372
Individual Income Taxes,103981000000.0,Receipt,Real,-5.0,94,Max,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.006692850924284857,333913536943.40234,229932536943.4023
Spacer 13,40000000000.0,Receipt,Spacer,-5.0,94,Max,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.006692850924284857,373645822906.4309,333913536943.40234
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-5.0,94,Max,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.006692850924284857,480070822906.4309,373645822906.4309
Dummy_Source,100000000000.0,Dummy,Spacer,-5.0,5,Min,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.006692850924284857,0.0,0.0
