Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Dummy_Source,100000000000.0,Dummy,Spacer,-6.0,98,Max,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Deficit,88426000000.0,Deficit,Real,-6.0,98,Max,1.0,188426000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Estate and Gift Taxes,2015000000.0,Receipt,Real,-6.0,98,Max,2.0,190441000000.0,2015000000.0,2015000000.0,0.0,190441000000.0,188426000000.0,0.002472623156634775,2480906490.912064,465906490.91206414
Spacer 3,40000000000.0,Receipt,Spacer,-6.0,98,Max,3.0,,42015000000.0,42015000000.0,2015000000.0,190441000000.0,190441000000.0,0.002472623156634775,42382001564.646675,2480906490.912064
Customs Duties,2421000000.0,Receipt,Real,-6.0,98,Max,4.0,192862000000.0,44436000000.0,44436000000.0,42015000000.0,192862000000.0,190441000000.0,0.002472623156634775,44803001564.646675,42382001564.646675
Spacer 5,40000000000.0,Receipt,Spacer,-6.0,98,Max,5.0,,84436000000.0,84436000000.0,44436000000.0,192862000000.0,192862000000.0,0.002472623156634775,84704096638.38129,44803001564.646675
Corporation Income Taxes,5935000000.0,Receipt,Real,-6.0,98,Max,6.0,198797000000.0,90371000000.0,90371000000.0,84436000000.0,198797000000.0,192862000000.0,0.002472623156634775,90639096638.38129,84704096638.38129
Spacer 7,40000000000.0,Receipt,Spacer,-6.0,98,Max,7.0,,130371000000.0,130371000000.0,90371000000.0,198797000000.0,198797000000.0,0.002472623156634775,130540191712.11589,90639096638.38129
Excise Taxes,8123000000.0,Receipt,Real,-6.0,98,Max,8.0,206920000000.0,138494000000.0,138494000000.0,130371000000.0,206920000000.0,198797000000.0,0.002472623156634775,138663191712.1159,130540191712.11589
Spacer 9,40000000000.0,Receipt,Spacer,-6.0,98,Max,9.0,,178494000000.0,178494000000.0,138494000000.0,206920000000.0,206920000000.0,0.002472623156634775,178564286785.8505,138663191712.1159
Miscellaneous Receipts,11516000000.0,Receipt,Real,-6.0,98,Max,10.0,218436000000.0,190010000000.0,190010000000.0,178494000000.0,218436000000.0,206920000000.0,0.002472623156634775,190080286785.8505,178564286785.8505
Spacer 11,40000000000.0,Receipt,Spacer,-6.0,98,Max,11.0,,230010000000.0,230010000000.0,190010000000.0,218436000000.0,218436000000.0,0.002472623156634775,229981381859.5851,190080286785.8505
Individual Income Taxes,103981000000.0,Receipt,Real,-6.0,98,Max,12.0,322417000000.0,333991000000.0,333991000000.0,230010000000.0,322417000000.0,218436000000.0,0.002472623156634775,333962381859.5851,229981381859.5851
Spacer 13,40000000000.0,Receipt,Spacer,-6.0,98,Max,13.0,,373991000000.0,373991000000.0,333991000000.0,322417000000.0,322417000000.0,0.002472623156634775,373863476933.3197,333962381859.5851
Social Insurance and Retirement Receipts,106425000000.0,Receipt,Real,-6.0,98,Max,14.0,428842000000.0,480416000000.0,480416000000.0,373991000000.0,428842000000.0,322417000000.0,0.002472623156634775,480288476933.3197,373863476933.3197
Dummy_Source,100000000000.0,Dummy,Spacer,-6.0,1,Min,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
