Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Dummy_Source,111333666666.66667,Dummy,Spacer,-6.0,98,Max,0.0,111333666666.66667,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-6.0,98,Max,1.0,219022666666.6667,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-6.0,98,Max,2.0,220359666666.6667,1337000000.0,1337000000.0,0.0,220359666666.6667,219022666666.6667,0.002472623156634775,1878560517.4278996,541560517.4278996
Spacer 3,55059388888.0,Receipt,Spacer,-6.0,98,Max,3.0,,56396388888.0,56396388888.0,1337000000.0,220359666666.6667,220359666666.6667,0.002472623156634775,56801808285.473274,1878560517.4278996
Estate and Gift Taxes,1765000000.0,Receipt,Real,-6.0,98,Max,4.0,222124666666.6667,58161388888.0,58161388888.0,56396388888.0,222124666666.6667,220359666666.6667,0.002472623156634775,58566808285.473274,56801808285.473274
Spacer 5,55059388888.0,Receipt,Spacer,-6.0,98,Max,5.0,,113220777776.0,113220777776.0,58161388888.0,222124666666.6667,222124666666.6667,0.002472623156634775,113490056053.51865,58566808285.473274
Customs Duties,2947000000.0,Receipt,Real,-6.0,98,Max,6.0,225071666666.6667,116167777776.0,116167777776.0,113220777776.0,225071666666.6667,222124666666.6667,0.002472623156634775,116437056053.51865,113490056053.51865
Spacer 7,55059388888.0,Receipt,Spacer,-6.0,98,Max,7.0,,171227166664.0,171227166664.0,116167777776.0,225071666666.6667,225071666666.6667,0.002472623156634775,171360303821.56403,116437056053.51865
Excise Taxes,7416000000.0,Receipt,Real,-6.0,98,Max,8.0,232487666666.6667,178643166664.0,178643166664.0,171227166664.0,232487666666.6667,225071666666.6667,0.002472623156634775,178776303821.56403,171360303821.56403
Spacer 9,55059388888.0,Receipt,Spacer,-6.0,98,Max,9.0,,233702555552.0,233702555552.0,178643166664.0,232487666666.6667,232487666666.6667,0.002472623156634775,233699551589.60938,178776303821.56403
Miscellaneous Receipts,14067000000.0,Receipt,Real,-6.0,98,Max,10.0,246554666666.6667,247769555552.0,247769555552.0,233702555552.0,246554666666.6667,232487666666.6667,0.002472623156634775,247766551589.60938,233699551589.60938
Spacer 11,55059388888.0,Receipt,Spacer,-6.0,98,Max,11.0,,302828944440.0,302828944440.0,247769555552.0,246554666666.6667,246554666666.6667,0.002472623156634775,302689799357.6548,247766551589.60938
Social Insurance and Retirement Receipts,89474000000.0,Receipt,Real,-6.0,98,Max,12.0,336028666666.6667,392302944440.0,392302944440.0,302828944440.0,336028666666.6667,246554666666.6667,0.002472623156634775,392163799357.6548,302689799357.6548
Spacer 13,55059388888.0,Receipt,Spacer,-6.0,98,Max,13.0,,447362333328.0,447362333328.0,392302944440.0,336028666666.6667,336028666666.6667,0.002472623156634775,447087047125.70013,392163799357.6548
Individual Income Taxes,109306000000.0,Receipt,Real,-6.0,98,Max,14.0,445334666666.6667,556668333328.0,556668333328.0,447362333328.0,445334666666.6667,336028666666.6667,0.002472623156634775,556393047125.7001,447087047125.70013
Dummy_Source,111333666666.66667,Dummy,Spacer,-6.0,1,Min,0.0,111333666666.66667,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Deficit,107689000000.0,Deficit,Real,-6.0,1,Min,1.0,219022666666.6667,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Corporation Income Taxes,1337000000.0,Receipt,Real,-6.0,1,Min,2.0,220359666666.6667,1337000000.0,1337000000.0,0.0,220359666666.6667,219022666666.6667,0.002472623156634775,1878560517.4278996,541560517.4278996
Spacer 3,55059388888.0,Receipt,Spacer,-6.0,1,Min,3.0,,56396388888.0,56396388888.0,1337000000.0,220359666666.6667,220359666666.6667,0.002472623156634775,56801808285.473274,1878560517.4278996
Estate and Gift Taxes,1765000000.0,Receipt,Real,-6.0,1,Min,4.0,222124666666.6667,58161388888.0,58161388888.0,56396388888.0,222124666666.6667,220359666666.6667,0.002472623156634775,58566808285.473274,56801808285.473274
Spacer 5,55059388888.0,Receipt,Spacer,-6.0,1,Min,5.0,,113220777776.0,113220777776.0,58161388888.0,222124666666.6667,222124666666.6667,0.002472623156634775,113490056053.51865,58566808285.473274
Customs Duties,2947000000.0,Receipt,Real,-6.0,1,Min,6.0,225071666666.6667,116167777776.0,116167777776.0,113220777776.0,225071666666.6667,222124666666.6667,0.002472623156634775,116437056053.51865,113490056053.51865
Spacer 7,55059388888.0,Receipt,Spacer,-6.0,1,Min,7.0,,171227166664.0,171227166664.0,116167777776.0,225071666666.6667,225071666666.6667,0.002472623156634775,171360303821.56403,116437056053.51865
