Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,Stage1_Row_Type,t,Path,MinMax,pillar1_rank_n,pillar2_cumsum,pillar1_cumsum,Stage1_Top,Stage1_Bot,Stage2_Top,Stage2_Bot,sigmoid,curve_top_rec,curve_bot_rec
Dummy_Source,100000000000.0,Dummy,Spacer,-6.0,98,Max,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-6.0,98,Max,2.0,103009000000.0,3009000000.0,3009000000.0,0.0,103009000000.0,100000000000.0,0.002472623156634775,3256262315.6634774,247262315.6634775
Spacer 3,40000000000.0,Receipt,Spacer,-6.0,98,Max,3.0,,43009000000.0,43009000000.0,3009000000.0,103009000000.0,103009000000.0,0.002472623156634775,43157357389.39809,3256262315.6634774
Estate and Gift Taxes,4198000000.0,Receipt,Real,-6.0,98,Max,4.0,107207000000.0,47207000000.0,47207000000.0,43009000000.0,107207000000.0,103009000000.0,0.002472623156634775,47355357389.39809,43157357389.39809
Spacer 5,40000000000.0,Receipt,Spacer,-6.0,98,Max,5.0,,87207000000.0,87207000000.0,47207000000.0,107207000000.0,107207000000.0,0.002472623156634775,87256452463.13269,47355357389.39809
Excise Taxes,4358000000.0,Receipt,Real,-6.0,98,Max,6.0,111565000000.0,91565000000.0,91565000000.0,87207000000.0,111565000000.0,107207000000.0,0.002472623156634775,91614452463.13269,87256452463.13269
Spacer 7,40000000000.0,Receipt,Spacer,-6.0,98,Max,7.0,,131565000000.0,131565000000.0,91565000000.0,111565000000.0,111565000000.0,0.002472623156634775,131515547536.86731,91614452463.13269
Miscellaneous Receipts,12045000000.0,Receipt,Real,-6.0,98,Max,8.0,123610000000.0,143610000000.0,143610000000.0,131565000000.0,123610000000.0,111565000000.0,0.002472623156634775,143560547536.8673,131515547536.86731
Spacer 9,40000000000.0,Receipt,Spacer,-6.0,98,Max,9.0,,183610000000.0,183610000000.0,143610000000.0,123610000000.0,123610000000.0,0.002472623156634775,183461642610.60193,143560547536.8673
Corporation Income Taxes,59721000000.0,Receipt,Real,-6.0,98,Max,10.0,183331000000.0,243331000000.0,243331000000.0,183610000000.0,183331000000.0,123610000000.0,0.002472623156634775,243182642610.60193,183461642610.60193
Spacer 11,40000000000.0,Receipt,Spacer,-6.0,98,Max,11.0,,283331000000.0,283331000000.0,243331000000.0,183331000000.0,183331000000.0,0.002472623156634775,283083737684.33655,243182642610.60193
Social Insurance and Retirement Receipts,122955000000.0,Receipt,Real,-6.0,98,Max,12.0,306286000000.0,406286000000.0,406286000000.0,283331000000.0,306286000000.0,183331000000.0,0.002472623156634775,406038737684.33655,283083737684.33655
Spacer 13,40000000000.0,Receipt,Spacer,-6.0,98,Max,13.0,,446286000000.0,446286000000.0,406286000000.0,306286000000.0,306286000000.0,0.002472623156634775,445939832758.0711,406038737684.33655
Individual Income Taxes,249320000000.0,Receipt,Real,-6.0,98,Max,14.0,555606000000.0,695606000000.0,695606000000.0,446286000000.0,555606000000.0,306286000000.0,0.002472623156634775,695259832758.0712,445939832758.0711
Dummy_Source,100000000000.0,Dummy,Spacer,-6.0,1,Min,0.0,100000000000.0,0.0,0.0,0.0,0.0,0.0,0.002472623156634775,0.0,0.0
Customs Duties,3009000000.0,Receipt,Real,-6.0,1,Min,2.0,103009000000.0,3009000000.0,3009000000.0,0.0,103009000000.0,100000000000.0,0.002472623156634775,3256262315.6634774,247262315.6634775
Spacer 3,40000000000.0,Receipt,Spacer,-6.0,1,Min,3.0,,43009000000.0,43009000000.0,3009000000.0,103009000000.0,103009000000.0,0.002472623156634775,43157357389.39809,3256262315.6634774
Estate and Gift Taxes,4198000000.0,Receipt,Real,-6.0,1,Min,4.0,107207000000.0,47207000000.0,47207000000.0,43009000000.0,107207000000.0,103009000000.0,0.002472623156634775,47355357389.39809,43157357389.39809
Spacer 5,40000000000.0,Receipt,Spacer,-6.0,1,Min,5.0,,87207000000.0,87207000000.0,47207000000.0,107207000000.0,107207000000.0,0.002472623156634775,87256452463.13269,47355357389.39809
